E    #       LOSS TOK2VEC  LOSS NER  ENTS_F  ENTS_P  ENTS_R  SCORE 
---  ------  ------------  --------  ------  ------  ------  ------
  0       0          0.00     35.67    0.00    0.00    0.00    0.00
  0     200         24.48   1785.72   59.77   59.53   60.01    0.60
  0     400         37.91    927.65   64.32   76.98   55.23    0.64
  0     600         39.79   1044.82   67.08   71.13   63.46    0.67
  0     800         43.82   1137.60   73.33   72.05   74.65    0.73
  0    1000         43.04   1272.18   77.17   71.90   83.27    0.77
  0    1200         57.18   1499.75   78.51   74.95   82.42    0.79
  0    1400         74.69   1596.81   79.22   78.71   79.73    0.79
  0    1600         67.41   1835.93   78.83   84.87   73.59    0.79
  0    1800         91.42   2233.24   81.72   83.22   80.28    0.82
  0    2000        104.18   2471.31   83.94   82.98   84.92    0.84
  1    2200        117.26   2926.55   84.76   85.43   84.11    0.85
  1    2400        151.66   2958.09   84.55   85.90   83.24    0.85
  1    2600        187.01   3041.51   85.59   83.36   87.94    0.86
  1    2800        166.73   2858.17   85.92   85.30   86.55    0.86
  2    3000        165.67   2760.35   86.53   84.66   88.48    0.87
  2    3200        179.62   2365.76   85.94   88.60   83.43    0.86
  2    3400        205.80   2430.50   86.17   88.70   83.78    0.86
  2    3600        163.00   2450.50   87.16   87.30   87.01    0.87
  3    3800        171.33   2429.12   87.67   85.88   89.54    0.88
  3    4000        191.41   2012.26   87.55   87.60   87.50    0.88
  3    4200        249.68   2069.46   87.25   88.83   85.74    0.87
  3    4400        191.10   2086.81   87.41   89.04   85.85    0.87
  4    4600        199.46   2006.51   88.45   85.82   91.25    0.88
  4    4800        202.50   1666.95   88.05   88.22   87.88    0.88
  4    5000        215.71   1800.87   88.23   88.30   88.16    0.88
  4    5200        195.67   1855.57   89.00   88.00   90.03    0.89
  5    5400        196.89   1801.96   88.78   86.26   91.44    0.89
  5    5600        220.66   1574.01   89.20   88.23   90.19    0.89
  5    5800        213.54   1546.88   88.14   89.52   86.80    0.88
  5    6000        240.67   1680.81   88.85   89.72   87.99    0.89
  6    6200        198.82   1604.05   88.79   89.22   88.37    0.89
  6    6400        382.80   1376.27   88.72   91.71   85.93    0.89
  6    6600        228.96   1465.46   89.43   89.48   89.38    0.89
  6    6800        227.22   1583.78   89.30   89.87   88.73    0.89
  7    7000        222.63   1398.63   89.06   90.26   87.88    0.89
  7    7200        253.13   1239.49   88.55   91.22   86.04    0.89
  7    7400        250.52   1315.35   88.91   86.51   91.44    0.89
  7    7600        272.31   1459.16   89.21   90.29   88.16    0.89
  8    7800        250.02   1320.52   89.70   89.73   89.68    0.90
  8    8000        285.25   1179.12   89.36   89.49   89.24    0.89
  8    8200        255.98   1251.91   88.65   91.40   86.06    0.89
  8    8400        316.11   1353.43   89.33   90.77   87.94    0.89
  9    8600        254.06   1164.56   89.48   91.01   87.99    0.89
  9    8800        334.51   1117.20   89.38   88.45   90.33    0.89
  9    9000        294.60   1204.11   89.49   89.01   89.98    0.89
  9    9200        260.39   1211.10   89.95   90.51   89.41    0.90
 10    9400        251.76   1151.34   89.81   89.59   90.03    0.90
 10    9600        337.44   1067.54   90.25   89.09   91.44    0.90
 10    9800        337.80   1132.36   89.64   90.43   88.86    0.90
 10   10000        272.46   1122.99   89.73   90.00   89.46    0.90
 11   10200        302.42   1067.59   89.99   90.47   89.51    0.90
 11   10400        366.23    979.26   89.75   91.31   88.24    0.90
 11   10600        288.32   1068.73   90.21   88.81   91.66    0.90
 11   10800        380.92   1074.00   90.34   89.65   91.04    0.90
 12   11000        256.47    941.12   89.78   91.22   88.37    0.90
 12   11200        341.57    992.59   89.77   90.76   88.81    0.90
 12   11400        296.36    988.31   89.45   91.84   87.18    0.89
 12   11600        290.78   1020.32   89.87   88.98   90.79    0.90
 13   11800        309.27    919.50   90.22   89.58   90.87    0.90
 13   12000        364.82    881.39   90.14   89.65   90.63    0.90
 13   12200        282.09    948.42   89.89   88.96   90.84    0.90
 13   12400        309.68   1030.21   90.21   90.69   89.73    0.90
