E    #       LOSS TOK2VEC  LOSS NER  ENTS_F  ENTS_P  ENTS_R  SCORE 
---  ------  ------------  --------  ------  ------  ------  ------
  0       0          0.00     36.67    0.00    0.00    0.00    0.00
  0     200         54.10   2004.46   67.05   69.16   65.07    0.67
  0     400        436.79   1196.63   73.91   69.97   78.31    0.74
  0     600        177.48   1157.73   79.41   76.39   82.69    0.79
  0     800         56.48   1285.98   79.45   79.98   78.92    0.79
  1    1000         63.15   1307.49   81.52   78.20   85.13    0.82
  1    1200         70.62   1347.80   83.18   82.27   84.11    0.83
  2    1400         99.58   1493.16   82.47   81.85   83.10    0.82
  2    1600        111.92   1619.87   84.73   83.35   86.15    0.85
  3    1800        163.96   1425.10   84.74   84.95   84.52    0.85
  4    2000        201.70   1488.63   83.82   84.56   83.10    0.84
  5    2200        252.60   1451.14   85.81   84.50   87.17    0.86
  7    2400        279.32   1135.58   84.36   81.82   87.07    0.84
  8    2600        332.99   1063.87   84.95   84.56   85.34    0.85
 10    2800        351.40    830.48   85.50   84.27   86.76    0.85
 12    3000        376.22    760.23   85.53   83.03   88.19    0.86
 13    3200        371.82    634.96   83.76   83.50   84.01    0.84
 15    3400        319.01    601.23   83.72   81.89   85.64    0.84
 16    3600        321.86    532.30   83.06   82.51   83.60    0.83
 18    3800        312.22    551.93   84.05   84.93   83.20    0.84
