E    #       LOSS TOK2VEC  LOSS NER  ENTS_F  ENTS_P  ENTS_R  SCORE 
---  ------  ------------  --------  ------  ------  ------  ------
  0       0          0.00     42.33    0.11    0.68    0.06    0.00
  0     200         55.00   2037.41   66.28   70.02   62.91    0.66
  0     400         50.78    860.20   78.62   81.23   76.17    0.79
  0     600         48.37    888.89   79.77   73.00   87.91    0.80
  0     800         64.74    913.05   82.44   86.27   78.93    0.82
  0    1000         60.12    870.69   85.41   79.39   92.43    0.85
  0    1200         87.63    964.60   86.54   85.04   88.09    0.87
  1    1400         75.58   1078.44   87.68   84.22   91.43    0.88
  1    1600         82.03   1146.89   88.76   84.01   94.07    0.89
  1    1800        101.51   1307.28   89.07   84.63   94.01    0.89
  2    2000        103.85   1434.38   88.48   88.87   88.09    0.88
  2    2200        166.84   1457.23   90.37   88.08   92.78    0.90
  3    2400        163.16   1537.29   89.60   87.74   91.55    0.90
  4    2600        178.27   1352.47   89.86   90.24   89.50    0.90
  4    2800        215.96   1027.98   90.19   88.17   92.31    0.90
  5    3000        227.00    923.78   89.62   88.82   90.43    0.90
  6    3200        175.27    851.23   90.24   88.58   91.96    0.90
  6    3400        256.63    775.13   89.70   89.44   89.96    0.90
  7    3600        187.92    702.12   89.70   87.72   91.78    0.90
  8    3800        254.47    636.50   90.13   87.42   93.02    0.90
